date,ISM Manufacturing,ISM Nonmanufacturing SA,ISM Manufacturing Production,ISM Manufacturing New Orders,ISM Manufacturing Employment,ISM Manufacturing Prices,ISM Manufacturing Exports Orders,ISM Manufacturing Inventory level,ISM Nonmanufacturing Production,ISM Nonmanufacturing New Orders,ISM Nonmanufacturing Employment,ISM Nonmanufacturing Prices
1/1/1948,51.7,#N/A N/A,59.1,53.3,54.8,72.2,#N/A N/A,45.3,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/1/1948,50.2,#N/A N/A,55.2,51.1,55.8,62.7,#N/A N/A,43.9,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/1/1948,43.3,#N/A N/A,47.8,43.9,44,69.3,#N/A N/A,44.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/1/1948,45.4,#N/A N/A,49.5,44.5,43.9,75.8,#N/A N/A,46.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
5/1/1948,49.5,#N/A N/A,52.1,51.2,51.8,70.8,#N/A N/A,47,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
6/1/1948,53,#N/A N/A,56.8,58.1,50.8,78.5,#N/A N/A,54.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
7/1/1948,48.4,#N/A N/A,51.4,50.4,49.1,77.3,#N/A N/A,51.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
8/1/1948,45.1,#N/A N/A,51,46,46.1,77,#N/A N/A,46.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/1/1948,42.1,#N/A N/A,47.9,40.6,46.1,66,#N/A N/A,45.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/1/1948,47.2,#N/A N/A,52.7,52.1,47.5,56.6,#N/A N/A,45.4,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/1/1948,42.4,#N/A N/A,48.9,43.2,44,51,#N/A N/A,42.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/1/1948,35,#N/A N/A,42.1,34.5,39,47.5,#N/A N/A,37,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/1/1949,32.9,#N/A N/A,42,31.4,34.1,39.6,#N/A N/A,36.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
