date,NFIB_NFIB Overall_SA_Index,NFIB_NFIB Good time to Expand_SA_Diffusion,NFIB_NFIB Business Conditions_SA_Diffusion,NFIB_NFIB Earnings Changes_SA_Diffusion,NFIB_NFIB Sales Changes_SA_Diffusion,NFIB_NFIB Sales Expactations_SA_Diffusion,NFIB_NFIB Price Change_SA_Diffusion,NFIB_NFIB Price Plans_SA_Diffusion,NFIB_NFIB Employment Changes_SA_Diffusion,NFIB_NFIB Qualified Applicants for Job Openings_SA_Diffusion,NFIB_NFIB Job Openings_SA_Diffusion,NFIB_NFIB Hiring Plans_SA_Diffusion,NFIB_NFIB Compensation_SA_Diffusion,NFIB_NFIB Compensation Plans_SA_Diffusion,NFIB_Credit Condition Regular Borrowers_NSA_Percent,NFIB_Credit Condition Availability of Loans_SA_Diffusion,NFIB_Borrowing Needs Satisfied_NSA_Percent,NFIB_Borrowing Needs Not Satisfied_NSA_Percent,NFIB_Expected Credit Conditions_SA_Diffusion,NFIB_Relative Interest Rate Paid_SA_Diffusion,NFIB_Actual Interest Rate Paid_NSA_Percent,NFIB_NFIB Change in Inventory_SA_Diffusion,NFIB_NFIB Inventory Satisfaction_SA_Diffusion,NFIB_NFIB Inventory Levels_SA_Diffusion,NFIB_NFIB Actual Capital Expenditures_SA_Diffusion,NFIB_NFIB Capital Expenditure Plans_SA_Diffusion,NFIB_Taxes_NSA_Percent,NFIB_Inflation_NSA_Percent,NFIB_Poor Sales_NSA_Percent,NFIB_Financial and Interest Rates_NSA_Percent,NFIB_Labor Cost_NSA_Percent,NFIB_Government Regulation_NSA_Percent,NFIB_Competition from Large Business_NSA_Percent,NFIB_Quality of Labor_NSA_Percent,NFIB_Cost and Availability of Insurance_NSA_Percent,NFIB_Other Problem_NSA_Percent
1/31/1986,100.3,21,11,-12,8,25,7,18,5,#N/A N/A,18,9,20,18,38,-4,#N/A N/A,#N/A N/A,-5,-12,#N/A N/A,0,-3,4,57,31,22,3,14,9,6,10,12,7,0,#N/A N/A
2/28/1986,99.8,19,13,-12,9,27,10,12,0,#N/A N/A,15,7,21,16,41,-6,#N/A N/A,#N/A N/A,-7,-10,#N/A N/A,0,-2,4,54,29,20,3,16,9,5,12,11,6,0,#N/A N/A
3/31/1986,101.5,26,18,-10,7,24,3,14,0,#N/A N/A,19,13,23,16,39,-5,#N/A N/A,#N/A N/A,-5,-16,#N/A N/A,0,-4,2,54,28,21,3,15,9,3,9,12,8,0,#N/A N/A
4/30/1986,101,27,16,-12,4,27,2,13,2,#N/A N/A,16,8,21,16,42,-5,#N/A N/A,#N/A N/A,-4,-29,#N/A N/A,2,-4,1,56,32,20,2,16,8,5,10,12,7,0,#N/A N/A
5/31/1986,102,26,13,-10,2,26,4,16,6,#N/A N/A,15,9,19,16,36,-3,#N/A N/A,#N/A N/A,-1,-26,#N/A N/A,5,1,5,54,34,20,3,14,5,5,13,12,7,0,#N/A N/A
6/30/1986,101.3,23,17,-7,8,23,4,16,-1,#N/A N/A,18,10,17,18,37,-5,#N/A N/A,#N/A N/A,-6,-23,#N/A N/A,1,-3,4,52,30,21,3,17,7,5,8,9,7,1,#N/A N/A
7/31/1986,99.8,20,11,-13,5,28,3,17,2,#N/A N/A,16,7,18,16,42,-5,#N/A N/A,#N/A N/A,-6,-22,#N/A N/A,1,-3,2,51,32,19,2,15,7,5,12,11,7,0,#N/A N/A
8/31/1986,98.8,21,8,-11,8,23,5,15,-7,#N/A N/A,14,5,14,15,43,-6,#N/A N/A,#N/A N/A,-8,-23,#N/A N/A,4,-2,4,56,30,21,2,18,6,5,11,12,7,0,#N/A N/A
9/30/1986,98.6,20,4,-16,3,21,6,17,2,#N/A N/A,17,9,17,18,39,-6,#N/A N/A,#N/A N/A,-8,-23,#N/A N/A,-2,-1,4,50,30,19,3,15,6,6,11,11,8,0,#N/A N/A
10/31/1986,98.8,18,8,-10,8,21,7,16,2,#N/A N/A,16,5,18,14,41,-4,#N/A N/A,#N/A N/A,-6,-23,#N/A N/A,2,-4,3,51,30,21,3,16,5,4,12,11,8,1,#N/A N/A
11/30/1986,97.5,17,5,-15,1,28,6,16,3,#N/A N/A,18,7,21,14,39,-5,#N/A N/A,#N/A N/A,-7,-19,#N/A N/A,6,-7,-5,54,28,21,3,17,5,3,10,13,8,1,#N/A N/A
12/31/1986,100.7,18,5,-5,14,28,8,19,3,#N/A N/A,16,11,16,16,38,-3,#N/A N/A,#N/A N/A,-4,-13,#N/A N/A,3,-1,6,57,29,23,3,16,5,5,11,12,9,0,#N/A N/A
1/31/1987,100.1,19,7,-7,8,25,7,16,2,#N/A N/A,17,7,19,15,36,-4,#N/A N/A,#N/A N/A,-5,-11,#N/A N/A,0,-1,5,53,30,21,3,15,5,5,13,12,8,1,#N/A N/A
2/28/1987,100.6,17,13,-11,3,28,10,15,0,#N/A N/A,20,8,17,13,37,-5,#N/A N/A,#N/A N/A,-6,-8,#N/A N/A,-1,-2,6,55,29,23,3,18,6,5,12,10,7,1,#N/A N/A
3/31/1987,101.2,21,11,-7,12,26,8,17,0,#N/A N/A,18,9,19,16,37,-5,#N/A N/A,#N/A N/A,-5,-10,#N/A N/A,2,-1,3,52,33,20,4,16,7,4,14,11,7,0,#N/A N/A
