date,Conference Board Consumer Confidence_SA_Index,Conference Board Present Situation_SA_Index,Conference Board Expectations_SA_Index,Conference Board Plentiful less Hard to Get_SA_Index,Conference Board Inlation Expectations 12m_SA_Pct
1/31/2000,144.7,183.1,119.1,44,3.9
2/29/2000,140.8,180.1,114.6,39.8,4
3/31/2000,137.1,182.5,106.8,42.7,4.4
4/30/2000,137.7,179.8,109.7,40.3,4.2
5/31/2000,144.7,183.6,118.7,42,4.1
6/30/2000,139.2,180.1,111.9,42.5,4.4
7/31/2000,143,186.8,113.7,46.2,4.1
8/31/2000,140.8,181.3,113.9,42,4.1
9/30/2000,142.5,182.5,115.9,41.9,4.2
10/31/2000,135.8,176.8,108.4,38,4.3
11/30/2000,132.6,179.7,101.2,39.5,4.4
12/31/2000,128.6,176.1,96.9,38.4,4.5
1/31/2001,115.7,170.4,79.3,36.2,4.7
2/28/2001,109.2,167.1,70.7,30.9,4.7
3/31/2001,116.9,167.5,83.1,31.2,4.3
4/30/2001,109.9,156,79.1,25.9,4.8
5/31/2001,116.1,159.6,87.1,25,5.1
6/30/2001,118.9,156.8,93.5,24.4,4.7
7/31/2001,116.3,151.3,92.9,21.5,4.1
8/31/2001,114,144.5,93.7,17.6,4.2
9/30/2001,97,125.4,78.1,8.3,4.2
10/31/2001,85.3,107.2,70.7,0.3,4.5
11/30/2001,84.9,96.2,77.3,-5.2,4.2
12/31/2001,94.6,97.8,92.4,-4,4.2
1/31/2002,97.8,98.1,97.6,-4.1,4.2
2/28/2002,95,96.4,94,-4.4,4.1
3/31/2002,110.7,111.5,110.2,-0.5,4.1
4/30/2002,108.5,106.8,109.6,-1.8,4.5
5/31/2002,110.3,111.2,109.7,-0.6,4.2
6/30/2002,106.3,104.9,107.2,-3.1,4.2
7/31/2002,97.4,99.4,96.1,-5.1,4.2
8/31/2002,94.5,93.1,95.5,-6.4,4.3
9/30/2002,93.7,88.5,97.2,-9.5,4.2
10/31/2002,79.6,77.2,81.1,-12.6,4.4
