date,Extended Benefits,PUA,PEUC
1/8/2000,0,0,0
1/15/2000,0,0,0
1/22/2000,1,0,0
1/29/2000,0,0,0
2/5/2000,0,0,0
2/12/2000,0,0,0
2/19/2000,0,0,0
2/26/2000,0,0,0
3/4/2000,339,0,0
3/11/2000,3598,0,0
3/18/2000,1441,0,0
3/25/2000,3610,0,0
4/1/2000,1727,0,0
4/8/2000,3422,0,0
4/15/2000,1886,0,0
4/22/2000,3393,0,0
4/29/2000,1997,0,0
5/6/2000,2823,0,0
5/13/2000,1841,0,0
5/20/2000,2249,0,0
5/27/2000,1634,0,0
6/3/2000,702,0,0
6/10/2000,40,0,0
6/17/2000,9,0,0
6/24/2000,3,0,0
7/1/2000,3,0,0
7/8/2000,2,0,0
7/15/2000,0,0,0
7/22/2000,2,0,0
7/29/2000,2,0,0
8/5/2000,2,0,0
8/12/2000,2,0,0
8/19/2000,2,0,0
8/26/2000,0,0,0
9/2/2000,4,0,0
9/9/2000,0,0,0
9/16/2000,0,0,0
9/23/2000,0,0,0
9/30/2000,3,0,0
10/7/2000,0,0,0
10/14/2000,0,0,0
10/21/2000,0,0,0
10/28/2000,0,0,0
11/4/2000,0,0,0
11/11/2000,0,0,0
11/18/2000,0,0,0
11/25/2000,0,0,0
12/2/2000,0,0,0
12/9/2000,0,0,0
12/16/2000,0,0,0
12/23/2000,0,0,0
12/30/2000,1,0,0
1/6/2001,0,0,0
1/13/2001,3,0,0
1/20/2001,0,0,0
1/27/2001,0,0,0
2/3/2001,0,0,0
2/10/2001,0,0,0
2/17/2001,0,0,0
2/24/2001,0,0,0
3/3/2001,1,0,0
3/10/2001,326,0,0
3/17/2001,3787,0,0
3/24/2001,1220,0,0
3/31/2001,3662,0,0
4/7/2001,1547,0,0
4/14/2001,3477,0,0
4/21/2001,1749,0,0
4/28/2001,3266,0,0
5/5/2001,1822,0,0
5/12/2001,2664,0,0
5/19/2001,1794,0,0
5/26/2001,1902,0,0
6/2/2001,1724,0,0
6/9/2001,563,0,0
6/16/2001,29,0,0
6/23/2001,9,0,0
6/30/2001,1,0,0
7/7/2001,1,0,0
7/14/2001,2,0,0
7/21/2001,0,0,0
7/28/2001,2,0,0
8/4/2001,4,0,0
8/11/2001,1,0,0
8/18/2001,1,0,0
8/25/2001,0,0,0
9/1/2001,0,0,0
9/8/2001,0,0,0
9/15/2001,0,0,0
9/22/2001,0,0,0
9/29/2001,0,0,0
10/6/2001,2,0,0
10/13/2001,0,0,0
10/20/2001,4,0,0
10/27/2001,0,0,0
11/3/2001,0,0,0
11/10/2001,0,0,0
11/17/2001,7,0,0
11/24/2001,30,0,0
12/1/2001,11,0,0
12/8/2001,1,0,0
12/15/2001,1,0,0
12/22/2001,1,0,0
12/29/2001,2,0,0
1/5/2002,13,0,0
1/12/2002,23685,0,0
1/19/2002,28148,0,0
1/26/2002,30925,0,0
2/2/2002,32302,0,0
2/9/2002,33773,0,0
2/16/2002,34353,0,0
2/23/2002,36281,0,0
3/2/2002,37946,0,0
3/9/2002,42357,0,0
3/16/2002,8542,0,0
3/23/2002,5553,0,0
3/30/2002,2543,0,0
4/6/2002,5922,0,0
4/13/2002,3051,0,0
4/20/2002,4558,0,0
4/27/2002,2875,0,0
5/4/2002,3652,0,0
