date,Existing Home Sales_SA_Index,Existing Home Sales_NSA_Index,Existing Homes Median Prices_NSA_Index
1/31/2000,5.23,0.286,136.7
2/29/2000,5.12,0.31,137.4
3/31/2000,5.19,0.42,138.7
4/30/2000,5.2,0.432,139.8
5/31/2000,5.11,0.489,142.1
6/30/2000,5.13,0.541,144.8
7/31/2000,5.11,0.492,147
8/31/2000,5.17,0.533,146.2
9/30/2000,5.29,0.443,146.7
10/31/2000,5.25,0.434,142.3
11/30/2000,5.35,0.408,143.7
12/31/2000,5.1,0.385,144.5
1/31/2001,5.1,0.295,141.7
2/28/2001,5.23,0.305,143.1
3/31/2001,5.45,0.438,147.2
4/30/2001,5.32,0.454,146.9
5/31/2001,5.27,0.506,150.4
6/30/2001,5.43,0.557,157.4
7/31/2001,5.43,0.535,156.2
8/31/2001,5.48,0.566,157.3
9/30/2001,5.23,0.42,153.3
10/31/2001,5.25,0.443,150.1
11/30/2001,5.24,0.405,152.2
12/31/2001,5.49,0.409,159.3
1/31/2002,5.86,0.342,155.8
2/28/2002,5.9,0.344,155.5
3/31/2002,5.63,0.438,158.2
4/30/2002,5.67,0.502,158.7
5/31/2002,5.64,0.543,161.8
6/30/2002,5.51,0.542,171
7/31/2002,5.41,0.544,168.5
8/31/2002,5.36,0.549,167.2
9/30/2002,5.52,0.457,165.3
10/31/2002,5.68,0.481,166.1
11/30/2002,5.73,0.43,168.3
12/31/2002,5.97,0.459,170.8
1/31/2003,6.03,0.352,166.6
2/28/2003,6.02,0.35,165.6
3/31/2003,5.86,0.446,169.4
4/30/2003,5.84,0.517,172
5/31/2003,5.94,0.565,175.2
6/30/2003,5.94,0.601,183.9
7/31/2003,6.27,0.632,184.2
8/31/2003,6.52,0.645,183.7
9/30/2003,6.58,0.566,181.4
10/31/2003,6.39,0.546,179.9
11/30/2003,6.23,0.446,179
12/31/2003,6.49,0.51,184.8
1/31/2004,6.23,0.352,179.1
2/29/2004,6.41,0.378,180.9
3/31/2004,6.66,0.531,183.2
4/30/2004,6.73,0.606,186.5
5/31/2004,6.85,0.623,193.3
6/30/2004,6.92,0.726,202.1
7/31/2004,6.84,0.681,201.1
8/31/2004,6.7,0.677,197.8
9/30/2004,6.68,0.571,198.1
10/31/2004,6.85,0.556,196.1
11/30/2004,6.96,0.531,199.3
12/31/2004,6.89,0.546,201.3
1/31/2005,7.1,0.382,197.4
2/28/2005,6.88,0.403,198.3
3/31/2005,6.96,0.557,203
4/30/2005,7.12,0.625,214.7
5/31/2005,7.08,0.669,217
6/30/2005,7.18,0.753,229.5
7/31/2005,7.14,0.689,227.8
8/31/2005,7.23,0.744,229.4
9/30/2005,7.25,0.63,225.4
10/31/2005,7.1,0.565,228.7
11/30/2005,7.03,0.53,225.1
12/31/2005,6.84,0.528,222.3
1/31/2006,6.72,0.374,217.3
2/28/2006,6.84,0.402,215.6
3/31/2006,6.83,0.554,217.8
4/30/2006,6.7,0.56,222.5
5/31/2006,6.58,0.642,228.5
6/30/2006,6.48,0.699,229.4
7/31/2006,6.32,0.605,230.3
8/31/2006,6.34,0.654,224.1
9/30/2006,6.28,0.529,220.8
10/31/2006,6.36,0.518,218.8
11/30/2006,6.34,0.472,217.6
12/31/2006,6.4,0.469,221.8
1/31/2007,5.74,0.324,211
2/28/2007,5.79,0.347,213.7
3/31/2007,5.46,0.436,217.6
4/30/2007,5.29,0.458,219.6
5/31/2007,5.27,0.511,222.7
6/30/2007,5.12,0.536,229
7/31/2007,5.07,0.499,228.4
8/31/2007,4.87,0.51,224.6
9/30/2007,4.58,0.365,210.5
10/31/2007,4.43,0.373,206.7
11/30/2007,4.46,0.343,208.8
12/31/2007,4.41,0.32,206.9
1/31/2008,4.17,0.235,199.8
2/29/2008,4.12,0.262,195.7
3/31/2008,4.16,0.316,200.1
4/30/2008,4.11,0.364,201
5/31/2008,4.14,0.403,207.7
6/30/2008,4.09,0.421,215.1
7/31/2008,4.15,0.418,210.3
8/31/2008,4.19,0.409,202.9
9/30/2008,4.27,0.369,191
10/31/2008,4.09,0.349,186.5
11/30/2008,3.77,0.273,180.1
12/31/2008,4.01,0.305,175.7
1/31/2009,3.82,0.218,164.6
2/28/2009,3.97,0.238,168.2
3/31/2009,3.86,0.304,169.9
4/30/2009,3.9,0.349,166.6
5/31/2009,4,0.376,174.7
