date,manheim
Jan-95,100
Feb-95,98.9
Mar-95,97.8
Apr-95,97.9
May-95,98.2
Jun-95,100.4
Jul-95,101.1
Aug-95,101.9
Sep-95,103.3
Oct-95,103.6
Nov-95,103.9
Dec-95,104
Jan-96,104.3
Feb-96,104.3
Mar-96,105.3
Apr-96,105.7
May-96,106.1
Jun-96,105.5
Jul-96,105.7
Aug-96,105.8
Sep-96,105.8
Oct-96,105.7
Nov-96,106.4
Dec-96,107
Jan-97,106.5
Feb-97,106.9
Mar-97,106.8
Apr-97,106.8
May-97,106.8
Jun-97,106.3
Jul-97,106.7
Aug-97,107.9
Sep-97,106.6
Oct-97,107.2
Nov-97,106.4
Dec-97,106.4
Jan-98,107.1
Feb-98,107.1
Mar-98,107.8
Apr-98,109.5
May-98,108.7
Jun-98,109.1
Jul-98,111.9
Aug-98,111.6
Sep-98,112.6
Oct-98,113.1
Nov-98,114
Dec-98,114
Jan-99,114.8
Feb-99,114.8
Mar-99,114.1
Apr-99,115
May-99,115
Jun-99,115.3
Jul-99,115.3
Aug-99,115.4
Sep-99,115.1
Oct-99,115
Nov-99,115.3
Dec-99,115.5
Jan-00,115.3
Feb-00,115.8
Mar-00,116.9
Apr-00,116.1
May-00,116.2
Jun-00,116.8
Jul-00,116.3
Aug-00,115.6
Sep-00,115.6
Oct-00,115.7
Nov-00,116.1
Dec-00,116.7
Jan-01,116.9
Feb-01,117.4
Mar-01,116.9
Apr-01,116.1
May-01,115.8
Jun-01,114.7
Jul-01,113.8
Aug-01,114
Sep-01,112.1
Oct-01,110.4
Nov-01,111.2
Dec-01,112.9
Jan-02,114.6
Feb-02,115.1
Mar-02,114.6
Apr-02,115
May-02,114.2
Jun-02,112
Jul-02,110.4
Aug-02,108.4
Sep-02,108
Oct-02,106.7
Nov-02,106.6
Dec-02,106.7
Jan-03,105.5
Feb-03,104.1
Mar-03,102.5
Apr-03,102.4
May-03,102.8
Jun-03,104.3
Jul-03,105.1
Aug-03,105.5
Sep-03,105.9
Oct-03,107
Nov-03,106.8
Dec-03,105.3
Jan-04,104.7
Feb-04,104.8
Mar-04,106.6
Apr-04,107.6
May-04,107.9
Jun-04,107.1
Jul-04,106.5
Aug-04,106.2
Sep-04,106.3
Oct-04,106.4
Nov-04,107.7
Dec-04,108.2
Jan-05,108.8
Feb-05,110.3
Mar-05,112.2
Apr-05,112.9
May-05,112.1
Jun-05,110.7
Jul-05,108.8
Aug-05,109.1
Sep-05,110.9
Oct-05,112.5
Nov-05,114.9
Dec-05,116.1
Jan-06,116.3
Feb-06,115.5
Mar-06,114.9
Apr-06,114.2
May-06,112.9
Jun-06,112.9
Jul-06,111.4
Aug-06,112.1
Sep-06,111.9
Oct-06,112
Nov-06,112.9
Dec-06,113.5
Jan-07,113.3
Feb-07,113.3
Mar-07,114.1
Apr-07,114.2
May-07,114.7
Jun-07,114.9
Jul-07,114.9
Aug-07,115.1
Sep-07,115.8
Oct-07,113.9
Nov-07,111.9
Dec-07,110.2
Jan-08,109.1
Feb-08,108.1
Mar-08,107.7
Apr-08,108.4
May-08,107.5
Jun-08,107.8
Jul-08,109.9
Aug-08,110.7
Sep-08,110.8
Oct-08,104.2
Nov-08,98.3
Dec-08,98
Jan-09,101.7
Feb-09,105.5
Mar-09,106.1
Apr-09,106.6
May-09,109.1
Jun-09,114.1
Jul-09,115.4
Aug-09,116.4
Sep-09,118.5
Oct-09,117.4
Nov-09,117.4
Dec-09,117.5
Jan-10,117.6
Feb-10,118.1
Mar-10,119.9
Apr-10,120.7
May-10,121
Jun-10,120.2
Jul-10,118.9
Aug-10,118.8
Sep-10,118.9
Oct-10,122.9
Nov-10,124.3
Dec-10,124.4
Jan-11,124.9
Feb-11,123.6
Mar-11,124.2
Apr-11,126.6
May-11,127.8
Jun-11,127.5
Jul-11,125.9
Aug-11,123.7
Sep-11,122.9
Oct-11,122.8
Nov-11,123.8
Dec-11,125.1
Jan-12,125.7
Feb-12,125.8
Mar-12,126.2
Apr-12,126.1
May-12,125.1
Jun-12,123.4
Jul-12,121.2
Aug-12,120.7
Sep-12,120.7
Oct-12,121.9
Nov-12,122.6
Dec-12,124.1
Jan-13,123.4
Feb-13,122
Mar-13,120.4
Apr-13,119.2
May-13,119.1
Jun-13,119.7
Jul-13,120.9
Aug-13,122.3
Sep-13,122.8
Oct-13,122.3
Nov-13,122.4
Dec-13,121.7
Jan-14,122.3
Feb-14,123.3
Mar-14,124.4
Apr-14,124.9
May-14,124.7
Jun-14,124
Jul-14,122.7
Aug-14,121.8
Sep-14,121.4
Oct-14,121.8
Nov-14,123.3
Dec-14,123.9
Jan-15,125.3
Feb-15,125.1
Mar-15,124.5
Apr-15,124.2
May-15,123.8
Jun-15,123.9
Jul-15,124.1
Aug-15,124.3
Sep-15,124.8
Oct-15,125.3
Nov-15,125.1
Dec-15,125.7
Jan-16,125.2
Feb-16,123.3
Mar-16,122.5
Apr-16,122.8
May-16,124.5
Jun-16,126.2
Jul-16,127
Aug-16,126.9
Sep-16,126.9
Oct-16,126
Nov-16,124.7
Dec-16,124.9
Jan-17,124.8
Feb-17,124.6
Mar-17,124.1
Apr-17,124.7
May-17,127.9
Jun-17,129.3
Jul-17,130.3
Aug-17,131.3
Sep-17,134.9
Oct-17,136.3
Nov-17,134.5
Dec-17,132
Jan-18,131
Feb-18,131
Mar-18,130.8
Apr-18,132.5
May-18,134.2
Jun-18,134.9
Jul-18,136.9
Aug-18,139.7
Sep-18,139.9
Oct-18,140.9
Nov-18,139
Dec-18,137.6
Jan-19,135.4
Feb-19,135.2
Mar-19,136
Apr-19,138.4
May-19,139.6
Jun-19,140.5
Jul-19,140.5
Aug-19,141.3
Sep-19,139.9
Oct-19,140.3
Nov-19,138.9
Dec-19,141.1
Jan-20,141.6
Feb-20,143.5
Mar-20,141.9
Apr-20,125.8
May-20,137
Jun-20,149.3
Jul-20,158
Aug-20,163.7
Sep-20,161.2
Oct-20,161.9
Nov-20,162
Dec-20,161.1
Jan-21,163
Feb-21,169.2
Mar-21,179.2
Apr-21,194
May-21,203
Jun-21,200.4
Jul-21,195.2
Aug-21,194.5
Sep-21,204.8
Oct-21,223.7
Nov-21,232.5
Dec-21,236.2
Jan-22,236.3
Feb-22,231.3
Mar-22,223.5
Apr-22,221.2
May-22,222.7
Jun-22,219.9
Jul-22,219.6
Aug-22,211.6
Sep-22,204.5
Oct-22,200
Nov-22,199.4
